data,chuva_mm,temp_max,preco_milho,preco_soja,preco_trigo
2025-01-01,2.4,28.4,,,
2025-01-02,10.3,27.7,70.5,125.0,65.0
2025-01-03,0.5,28.3,70.5,125.0,65.0
2025-01-04,0.0,24.7,,,
2025-01-05,0.0,25.6,,,
2025-01-06,0.0,25.2,71.0,125.0,65.0
2025-01-07,0.0,26.1,71.0,125.0,65.0
2025-01-08,0.4,26.9,71.0,125.0,65.0
2025-01-09,1.1,27.1,71.0,125.0,65.0
2025-01-10,12.3,26.2,71.0,125.0,65.0
2025-01-11,3.2,25.3,,,
2025-01-12,0.5,25.8,,,
2025-01-13,0.1,26.6,72.0,127.0,65.0
2025-01-14,10.1,26.8,73.0,127.0,65.0
2025-01-15,0.7,26.0,73.0,127.0,65.0
2025-01-16,0.2,28.0,73.0,126.0,65.0
2025-01-17,1.6,29.9,73.0,126.0,66.0
2025-01-18,0.2,29.9,,,
2025-01-19,0.8,31.1,,,
2025-01-20,1.7,27.6,73.0,126.0,65.0
2025-01-21,0.0,26.8,73.0,128.0,65.0
2025-01-22,0.0,30.5,73.0,127.0,65.0
2025-01-23,0.5,32.0,74.0,127.0,66.0
2025-01-24,10.0,27.5,74.0,126.0,66.0
2025-01-25,4.3,26.1,,,
2025-01-26,0.3,28.1,,,
2025-01-27,2.0,28.8,74.0,124.0,66.0
2025-01-28,2.4,28.1,73.0,123.0,66.0
2025-01-29,0.6,28.0,73.0,123.0,66.0
2025-01-30,10.0,27.5,73.0,123.0,66.0
2025-01-31,0.9,25.6,73.0,123.0,66.0
2025-02-01,0.7,27.2,,,
2025-02-02,0.4,28.9,,,
2025-02-03,0.6,30.6,73.0,124.0,67.0
2025-02-04,3.9,31.6,72.0,124.0,67.0
2025-02-05,1.2,31.5,72.0,124.0,67.0
2025-02-06,10.5,28.9,72.0,124.0,68.0
2025-02-07,0.3,30.2,73.0,124.0,68.0
2025-02-08,0.2,31.3,,,
2025-02-09,0.4,31.4,,,
2025-02-10,0.5,33.2,73.0,124.0,68.0
2025-02-11,0.6,31.3,71.0,124.0,68.0
2025-02-12,19.3,30.5,71.0,124.0,68.0
2025-02-13,3.2,27.2,71.0,124.0,68.0
2025-02-14,0.5,29.5,71.0,124.0,68.0
2025-02-15,19.2,27.3,,,
2025-02-16,12.9,28.7,,,
2025-02-17,21.0,26.4,71.0,123.0,68.0
2025-02-18,1.8,24.4,73.0,124.0,69.0
2025-02-19,1.4,26.5,73.0,124.0,69.0
2025-02-20,0.0,28.0,73.0,124.0,69.0
2025-02-21,0.0,29.6,73.0,124.0,69.0
2025-02-22,0.0,31.4,,,
2025-02-23,0.0,31.4,,,
2025-02-24,0.0,31.2,73.0,124.0,69.0
2025-02-25,0.2,32.4,73.0,124.0,70.0
2025-02-26,2.7,31.7,73.0,124.0,70.0
2025-02-27,7.2,29.9,73.0,125.0,70.0
2025-02-28,4.2,30.7,73.0,125.0,71.0
2025-03-01,0.0,30.7,,,
2025-03-02,0.1,32.6,,,
2025-03-03,0.0,33.4,,,
2025-03-04,0.0,31.8,,,
2025-03-05,0.0,32.0,,127.0,71.0
2025-03-06,0.0,30.4,74.0,127.0,71.0
2025-03-07,0.0,30.9,75.0,127.0,72.0
2025-03-08,0.2,31.5,,,
2025-03-09,26.5,27.0,,,
2025-03-10,0.0,25.4,75.0,127.0,72.0
2025-03-11,9.1,26.5,75.0,127.0,72.0
2025-03-12,1.4,25.4,75.0,127.0,72.0
2025-03-13,0.3,24.4,75.0,127.0,73.0
2025-03-14,0.0,23.3,75.0,127.0,73.0
2025-03-15,0.0,22.9,,,
2025-03-16,0.0,26.8,,,
2025-03-17,0.7,27.6,75.0,127.0,73.0
2025-03-18,0.5,27.5,76.0,127.0,73.0
2025-03-19,0.0,26.9,76.0,127.0,73.0
2025-03-20,0.0,28.3,76.0,126.0,73.0
2025-03-21,0.0,30.0,76.0,126.0,73.0
2025-03-22,0.0,29.1,,,
2025-03-23,0.4,29.3,,,
2025-03-24,1.3,30.2,76.0,126.0,73.0
2025-03-25,11.6,28.9,79.0,126.0,73.0
2025-03-26,0.3,29.9,79.0,125.0,73.0
2025-03-27,17.3,28.6,79.0,126.0,73.0
